offset	insertions
-1414	11474
-1413	11455
-1412	10845
-1411	11556
-1410	11786
-1409	11608
-1408	11519
-1407	10609
-1406	11018
-1405	11607
-1404	11537
-1403	11066
-1402	10577
-1401	11178
-1400	11480
-1399	11508
-1398	11471
-1397	11238
-1396	11166
-1395	11335
-1394	11307
-1393	11866
-1392	10973
-1391	10843
-1390	11576
-1389	11372
-1388	11699
-1387	11140
-1386	11195
-1385	11920
-1384	11611
-1383	11650
-1382	11599
-1381	11464
-1380	11830
-1379	12008
-1378	11581
-1377	11598
-1376	11912
-1375	11924
-1374	11893
-1373	11589
-1372	11607
-1371	12213
-1370	11862
-1369	11887
-1368	12139
-1367	11471
-1366	11398
-1365	11440
-1364	11664
-1363	11428
-1362	11043
-1361	10761
-1360	11305
-1359	11664
-1358	12144
-1357	11937
-1356	11332
-1355	11536
-1354	12046
-1353	11282
-1352	11600
-1351	11926
-1350	12004
-1349	11778
-1348	11541
-1347	11406
-1346	11797
-1345	11538
-1344	11218
-1343	11822
-1342	11565
-1341	11952
-1340	11795
-1339	11264
-1338	12053
-1337	12474
-1336	12719
-1335	12830
-1334	12475
-1333	12091
-1332	12281
-1331	12168
-1330	12068
-1329	11287
-1328	11740
-1327	11707
-1326	12576
-1325	13139
-1324	11862
-1323	11787
-1322	11890
-1321	12228
-1320	12327
-1319	12318
-1318	12753
-1317	12288
-1316	12587
-1315	11950
-1314	12059
-1313	11958
-1312	11793
-1311	12093
-1310	12193
-1309	11895
-1308	11797
-1307	12690
-1306	12562
-1305	11932
-1304	12139
-1303	12597
-1302	12805
-1301	12562
-1300	11337
-1299	12030
-1298	12873
-1297	12757
-1296	12500
-1295	12683
-1294	12018
-1293	11989
-1292	11870
-1291	11894
-1290	12203
-1289	12212
-1288	11894
-1287	11933
-1286	12026
-1285	13003
-1284	12306
-1283	11996
-1282	11880
-1281	12425
-1280	12446
-1279	11956
-1278	11892
-1277	12580
-1276	12812
-1275	12644
-1274	12228
-1273	12427
-1272	12471
-1271	12033
-1270	12249
-1269	12267
-1268	12607
-1267	12787
-1266	12742
-1265	12857
-1264	12549
-1263	13134
-1262	13229
-1261	13040
-1260	12114
-1259	12457
-1258	12764
-1257	13221
-1256	12417
-1255	12112
-1254	12424
-1253	12847
-1252	13193
-1251	12628
-1250	12558
-1249	12978
-1248	13034
-1247	13198
-1246	12767
-1245	13060
-1244	12764
-1243	12441
-1242	12104
-1241	13179
-1240	12837
-1239	12761
-1238	13003
-1237	12943
-1236	12892
-1235	13399
-1234	13427
-1233	13416
-1232	13339
-1231	12907
-1230	12756
-1229	12854
-1228	12746
-1227	12901
-1226	13046
-1225	13000
-1224	12386
-1223	12809
-1222	13189
-1221	13130
-1220	12914
-1219	12343
-1218	12872
-1217	13288
-1216	13536
-1215	13214
-1214	13066
-1213	13346
-1212	13717
-1211	13536
-1210	13475
-1209	13147
-1208	12897
-1207	13364
-1206	14086
-1205	13990
-1204	13441
-1203	13147
-1202	13581
-1201	13296
-1200	13258
-1199	12919
-1198	13488
-1197	13167
-1196	13314
-1195	13358
-1194	13056
-1193	13827
-1192	13472
-1191	13809
-1190	13315
-1189	13272
-1188	13430
-1187	13304
-1186	14084
-1185	13389
-1184	13210
-1183	13596
-1182	14099
-1181	14509
-1180	13485
-1179	12933
-1178	13605
-1177	13433
-1176	13640
-1175	14408
-1174	14563
-1173	13527
-1172	13410
-1171	13688
-1170	13287
-1169	13626
-1168	14141
-1167	14678
-1166	14003
-1165	13277
-1164	13996
-1163	13486
-1162	13794
-1161	14328
-1160	14321
-1159	13491
-1158	13516
-1157	13728
-1156	14944
-1155	14564
-1154	14617
-1153	14550
-1152	14379
-1151	14920
-1150	14490
-1149	14677
-1148	13985
-1147	13919
-1146	14213
-1145	14665
-1144	15109
-1143	14813
-1142	14157
-1141	14051
-1140	14228
-1139	14572
-1138	13863
-1137	14123
-1136	14583
-1135	14997
-1134	15189
-1133	14884
-1132	14643
-1131	13957
-1130	14608
-1129	14227
-1128	14611
-1127	15256
-1126	15252
-1125	14647
-1124	14990
-1123	14568
-1122	15200
-1121	14531
-1120	14554
-1119	14420
-1118	14399
-1117	15456
-1116	15103
-1115	14446
-1114	14396
-1113	14639
-1112	14756
-1111	14540
-1110	14867
-1109	14545
-1108	14549
-1107	14512
-1106	14484
-1105	14652
-1104	14736
-1103	15416
-1102	15270
-1101	15124
-1100	15630
-1099	15468
-1098	15245
-1097	15459
-1096	14756
-1095	14837
-1094	15418
-1093	15055
-1092	14551
-1091	15195
-1090	15193
-1089	15369
-1088	15527
-1087	15211
-1086	15831
-1085	15520
-1084	15728
-1083	16920
-1082	15684
-1081	15398
-1080	14796
-1079	15526
-1078	15609
-1077	15621
-1076	14993
-1075	15318
-1074	16085
-1073	15092
-1072	15383
-1071	15522
-1070	15657
-1069	16075
-1068	16395
-1067	15581
-1066	15705
-1065	15421
-1064	15490
-1063	15231
-1062	16085
-1061	15447
-1060	15945
-1059	15658
-1058	15345
-1057	15921
-1056	16263
-1055	16379
-1054	16227
-1053	15718
-1052	15715
-1051	15373
-1050	16265
-1049	15983
-1048	15679
-1047	15427
-1046	15812
-1045	16606
-1044	16374
-1043	15810
-1042	16672
-1041	16398
-1040	16719
-1039	16629
-1038	16059
-1037	15097
-1036	15995
-1035	17565
-1034	16733
-1033	16069
-1032	15784
-1031	16130
-1030	16187
-1029	16091
-1028	16310
-1027	16070
-1026	15857
-1025	16259
-1024	16501
-1023	16303
-1022	16437
-1021	16264
-1020	17233
-1019	17145
-1018	17115
-1017	16727
-1016	16229
-1015	16491
-1014	17530
-1013	17055
-1012	17109
-1011	16887
-1010	16709
-1009	16486
-1008	16980
-1007	17879
-1006	17342
-1005	17756
-1004	17269
-1003	16530
-1002	17406
-1001	18024
-1000	18267
-999	17192
-998	16510
-997	16491
-996	17287
-995	18013
-994	18174
-993	17236
-992	16815
-991	17523
-990	18863
-989	18829
-988	17690
-987	16686
-986	17552
-985	17886
-984	18094
-983	18256
-982	17689
-981	17821
-980	18524
-979	18417
-978	17216
-977	17036
-976	18636
-975	18083
-974	17342
-973	17788
-972	17206
-971	18249
-970	17806
-969	18198
-968	18574
-967	18020
-966	18357
-965	18724
-964	17774
-963	17382
-962	18150
-961	18267
-960	18209
-959	17705
-958	18028
-957	18339
-956	18493
-955	18508
-954	18622
-953	18569
-952	17874
-951	18458
-950	18628
-949	18594
-948	18391
-947	18061
-946	19153
-945	18620
-944	18114
-943	18557
-942	19085
-941	19168
-940	18655
-939	18587
-938	18189
-937	18468
-936	20219
-935	19720
-934	18639
-933	18906
-932	18647
-931	19469
-930	18979
-929	18545
-928	18378
-927	18818
-926	18577
-925	19199
-924	19548
-923	19449
-922	19203
-921	18808
-920	19840
-919	19541
-918	18959
-917	19960
-916	20014
-915	19880
-914	20113
-913	19435
-912	19678
-911	19123
-910	19742
-909	20261
-908	19847
-907	20038
-906	19739
-905	19503
-904	20247
-903	19314
-902	19792
-901	20109
-900	19570
-899	19888
-898	20632
-897	20329
-896	19068
-895	19831
-894	20265
-893	20805
-892	20681
-891	20620
-890	20332
-889	20267
-888	20823
-887	20663
-886	19860
-885	20310
-884	20412
-883	20015
-882	20003
-881	20302
-880	20433
-879	20376
-878	20677
-877	20211
-876	20116
-875	20782
-874	20709
-873	22079
-872	22087
-871	20721
-870	21011
-869	20492
-868	21120
-867	21295
-866	20401
-865	21061
-864	21253
-863	20408
-862	21440
-861	22166
-860	21663
-859	20772
-858	20389
-857	21325
-856	21914
-855	22268
-854	22647
-853	21855
-852	21211
-851	22231
-850	22321
-849	22488
-848	22515
-847	22424
-846	22132
-845	22445
-844	22039
-843	21812
-842	21305
-841	21087
-840	22150
-839	22946
-838	23152
-837	22363
-836	21928
-835	21352
-834	22859
-833	21910
-832	21778
-831	22198
-830	22299
-829	22564
-828	22378
-827	22736
-826	22743
-825	22920
-824	22333
-823	23172
-822	22978
-821	22514
-820	23288
-819	23333
-818	22573
-817	22948
-816	22295
-815	22764
-814	21688
-813	22647
-812	22725
-811	22731
-810	23296
-809	23048
-808	22992
-807	23720
-806	23139
-805	22742
-804	23156
-803	24028
-802	23351
-801	21985
-800	22707
-799	23331
-798	23237
-797	23773
-796	23522
-795	23477
-794	23748
-793	23766
-792	24056
-791	24758
-790	23605
-789	23240
-788	23847
-787	24032
-786	24424
-785	24017
-784	23673
-783	23544
-782	23947
-781	23600
-780	23926
-779	24215
-778	24158
-777	24564
-776	24122
-775	23879
-774	24601
-773	25165
-772	25839
-771	25826
-770	24949
-769	24791
-768	25375
-767	24882
-766	25750
-765	24920
-764	24643
-763	25343
-762	25779
-761	24969
-760	24948
-759	24912
-758	25614
-757	25258
-756	25289
-755	25167
-754	25844
-753	25841
-752	24542
-751	25556
-750	26227
-749	25754
-748	26210
-747	25088
-746	26321
-745	25862
-744	26955
-743	26915
-742	26139
-741	25493
-740	25969
-739	27402
-738	26853
-737	26189
-736	27320
-735	26331
-734	26281
-733	27052
-732	26985
-731	27466
-730	26416
-729	26614
-728	27328
-727	27524
-726	27978
-725	26748
-724	26704
-723	27576
-722	27978
-721	27537
-720	26556
-719	26624
-718	28024
-717	28722
-716	28125
-715	27745
-714	27341
-713	27793
-712	28350
-711	27805
-710	27400
-709	27868
-708	28274
-707	28069
-706	28627
-705	28127
-704	27964
-703	28606
-702	28063
-701	27857
-700	28520
-699	28477
-698	28667
-697	28902
-696	28578
-695	28674
-694	27671
-693	28772
-692	28998
-691	28598
-690	29213
-689	29821
-688	28966
-687	28989
-686	28792
-685	28811
-684	29755
-683	29477
-682	29300
-681	28949
-680	29490
-679	30193
-678	29363
-677	29744
-676	30764
-675	30508
-674	30575
-673	29863
-672	29818
-671	29723
-670	30395
-669	30606
-668	30268
-667	30393
-666	30618
-665	29513
-664	30253
-663	30145
-662	30576
-661	31484
-660	31306
-659	30168
-658	30308
-657	32273
-656	31041
-655	30765
-654	31568
-653	31681
-652	30530
-651	31173
-650	31670
-649	31308
-648	31572
-647	31857
-646	31569
-645	29760
-644	30448
-643	31312
-642	32071
-641	32155
-640	31749
-639	31569
-638	32631
-637	32087
-636	31997
-635	31681
-634	32005
-633	31574
-632	31935
-631	32746
-630	31735
-629	31144
-628	32326
-627	33571
-626	33355
-625	33687
-624	32698
-623	32973
-622	33115
-621	33765
-620	33261
-619	33898
-618	33666
-617	32729
-616	32758
-615	32734
-614	33701
-613	33726
-612	35104
-611	35655
-610	33842
-609	33026
-608	33531
-607	33981
-606	34101
-605	35133
-604	33998
-603	33352
-602	33838
-601	34578
-600	34194
-599	34143
-598	34535
-597	33816
-596	34432
-595	34537
-594	34711
-593	34534
-592	34596
-591	35284
-590	35188
-589	34953
-588	34051
-587	34256
-586	35462
-585	35565
-584	35476
-583	36965
-582	35479
-581	34486
-580	34175
-579	37088
-578	37502
-577	36345
-576	34762
-575	35797
-574	37013
-573	37977
-572	37463
-571	36756
-570	36732
-569	36558
-568	36057
-567	37623
-566	37108
-565	35484
-564	35450
-563	36589
-562	37077
-561	38567
-560	37182
-559	35952
-558	37146
-557	38599
-556	39213
-555	37255
-554	36318
-553	37378
-552	37677
-551	39800
-550	38467
-549	38118
-548	38532
-547	37635
-546	38792
-545	39528
-544	39565
-543	38997
-542	37904
-541	39354
-540	39402
-539	39067
-538	40081
-537	39526
-536	40042
-535	40840
-534	41679
-533	40440
-532	39968
-531	39503
-530	41128
-529	41356
-528	41795
-527	42198
-526	40734
-525	41668
-524	39999
-523	39551
-522	41790
-521	40454
-520	41894
-519	42452
-518	41323
-517	41246
-516	41818
-515	41729
-514	40997
-513	41496
-512	43869
-511	42412
-510	43271
-509	42924
-508	41727
-507	43487
-506	41298
-505	42182
-504	42713
-503	43557
-502	43506
-501	42899
-500	43712
-499	43877
-498	43319
-497	44906
-496	45228
-495	43718
-494	44308
-493	43997
-492	42978
-491	42218
-490	44537
-489	44614
-488	44865
-487	45258
-486	44221
-485	43925
-484	44789
-483	44791
-482	45830
-481	45213
-480	44706
-479	45386
-478	45889
-477	45992
-476	46289
-475	45732
-474	44645
-473	44304
-472	46977
-471	47374
-470	47482
-469	48111
-468	47353
-467	47071
-466	47221
-465	47031
-464	48263
-463	47450
-462	47689
-461	46367
-460	47573
-459	48098
-458	47943
-457	49529
-456	48791
-455	47788
-454	47727
-453	48163
-452	50049
-451	49215
-450	49441
-449	49423
-448	48414
-447	47862
-446	47740
-445	48653
-444	48615
-443	49690
-442	50836
-441	49172
-440	50273
-439	51477
-438	50158
-437	49685
-436	49357
-435	50355
-434	52867
-433	51340
-432	51186
-431	51766
-430	51235
-429	51060
-428	51620
-427	51382
-426	51398
-425	51899
-424	50769
-423	51108
-422	52330
-421	52065
-420	52600
-419	53023
-418	53025
-417	55457
-416	54411
-415	51154
-414	52186
-413	53664
-412	53942
-411	54831
-410	54138
-409	54598
-408	53076
-407	53262
-406	53576
-405	55428
-404	55864
-403	55331
-402	54417
-401	55266
-400	55340
-399	55945
-398	56122
-397	57613
-396	56029
-395	56417
-394	57123
-393	57793
-392	56537
-391	56018
-390	57428
-389	58439
-388	57808
-387	56339
-386	56632
-385	57763
-384	57067
-383	57883
-382	58400
-381	57108
-380	57275
-379	59496
-378	60574
-377	58915
-376	57387
-375	59216
-374	60635
-373	60705
-372	62011
-371	60980
-370	59651
-369	60725
-368	60521
-367	61484
-366	62696
-365	62118
-364	62894
-363	62824
-362	63015
-361	63973
-360	62136
-359	61928
-358	62595
-357	63654
-356	64902
-355	63495
-354	63108
-353	63519
-352	65010
-351	66581
-350	65775
-349	64660
-348	66419
-347	66091
-346	66938
-345	67238
-344	66582
-343	68065
-342	67705
-341	68281
-340	67771
-339	65313
-338	68325
-337	68130
-336	67015
-335	67952
-334	67418
-333	68381
-332	67615
-331	67717
-330	68871
-329	69188
-328	73143
-327	72293
-326	70944
-325	71078
-324	69988
-323	72360
-322	71439
-321	72434
-320	73537
-319	73115
-318	73845
-317	73500
-316	72304
-315	73039
-314	72638
-313	72988
-312	72911
-311	72521
-310	72761
-309	73483
-308	75066
-307	75493
-306	74875
-305	76260
-304	75924
-303	76885
-302	79049
-301	77586
-300	76831
-299	77952
-298	76818
-297	78704
-296	78924
-295	76615
-294	78915
-293	78197
-292	77781
-291	78811
-290	78606
-289	78410
-288	78307
-287	77703
-286	80026
-285	79942
-284	81353
-283	81329
-282	78278
-281	79841
-280	80176
-279	79543
-278	78583
-277	80793
-276	83775
-275	83034
-274	82439
-273	82895
-272	81820
-271	84458
-270	85582
-269	83935
-268	82332
-267	83394
-266	80990
-265	82813
-264	84753
-263	84735
-262	84336
-261	85643
-260	84829
-259	85668
-258	84660
-257	83732
-256	85856
-255	85395
-254	85427
-253	85144
-252	84904
-251	85603
-250	86196
-249	88641
-248	87478
-247	86802
-246	88977
-245	88833
-244	90475
-243	90289
-242	88995
-241	88231
-240	88538
-239	89397
-238	91751
-237	93896
-236	90961
-235	90681
-234	90613
-233	88782
-232	90087
-231	92106
-230	91345
-229	91443
-228	90354
-227	94111
-226	95090
-225	93856
-224	93427
-223	93437
-222	93486
-221	95067
-220	96760
-219	94320
-218	95287
-217	95956
-216	99384
-215	99673
-214	95466
-213	97693
-212	97803
-211	98399
-210	100270
-209	101209
-208	101180
-207	101679
-206	103011
-205	103207
-204	102466
-203	101055
-202	101422
-201	104457
-200	103403
-199	103176
-198	103329
-197	104354
-196	106041
-195	106310
-194	108580
-193	107783
-192	108537
-191	108798
-190	106877
-189	107423
-188	108147
-187	109068
-186	111661
-185	110708
-184	112134
-183	113534
-182	112703
-181	116434
-180	117470
-179	114111
-178	113693
-177	113298
-176	113785
-175	115203
-174	117573
-173	119001
-172	119527
-171	122730
-170	122518
-169	120432
-168	121049
-167	124568
-166	122967
-165	123988
-164	125652
-163	127034
-162	128041
-161	130254
-160	130444
-159	131400
-158	131942
-157	131023
-156	136333
-155	137153
-154	132724
-153	136093
-152	136922
-151	136344
-150	137185
-149	138217
-148	138837
-147	139412
-146	143811
-145	146844
-144	146334
-143	144271
-142	142309
-141	147046
-140	150271
-139	148403
-138	147048
-137	145056
-136	148501
-135	151809
-134	151748
-133	153038
-132	153070
-131	155607
-130	154637
-129	154708
-128	156206
-127	154492
-126	158245
-125	161103
-124	162888
-123	165734
-122	166803
-121	167123
-120	167776
-119	163946
-118	163461
-117	163701
-116	166173
-115	170219
-114	173424
-113	173229
-112	174114
-111	176233
-110	175932
-109	172119
-108	172442
-107	174098
-106	172841
-105	176069
-104	175937
-103	176928
-102	179905
-101	180539
-100	185292
-99	185056
-98	184123
-97	182196
-96	177353
-95	180900
-94	184165
-93	186668
-92	183673
-91	186170
-90	193790
-89	192232
-88	190642
-87	188571
-86	188711
-85	194020
-84	193330
-83	193325
-82	193181
-81	195586
-80	198006
-79	197747
-78	196004
-77	196054
-76	195977
-75	194469
-74	191328
-73	192699
-72	197696
-71	197150
-70	199046
-69	197616
-68	197936
-67	200733
-66	200613
-65	198071
-64	193396
-63	192096
-62	190001
-61	194704
-60	197939
-59	195108
-58	193786
-57	192435
-56	196639
-55	198090
-54	194554
-53	194594
-52	199808
-51	203960
-50	205761
-49	205773
-48	204980
-47	204673
-46	203335
-45	203024
-44	199057
-43	191780
-42	192831
-41	191072
-40	189045
-39	191745
-38	189597
-37	194697
-36	194673
-35	190262
-34	179305
-33	170985
-32	179373
-31	186620
-30	195571
-29	202765
-28	211302
-27	226242
-26	227531
-25	218438
-24	199878
-23	184582
-22	183247
-21	183519
-20	176492
-19	168869
-18	166399
-17	174018
-16	182882
-15	184466
-14	181655
-13	175882
-12	171805
-11	189742
-10	194605
-9	181043
-8	167279
-7	165178
-6	189710
-5	176890
-4	150090
-3	149534
-2	175603
-1	231124
0	233783
1	192885
2	159747
3	148611
4	185463
5	202152
6	179773
7	165162
8	162507
9	164350
10	158535
11	155784
12	150474
13	143932
14	144449
15	152510
16	161529
17	159168
18	157474
19	157411
20	157505
21	162196
22	164179
23	160411
24	155266
25	151262
26	153976
27	150419
28	143019
29	135864
30	132210
31	135384
32	136209
33	141257
34	140465
35	139374
36	139553
37	138566
38	138920
39	136032
40	133934
41	131241
42	126404
43	123893
44	122687
45	117442
46	115620
47	114429
48	116307
49	119187
50	117799
51	118226
52	115367
53	113868
54	113051
55	109120
56	106789
57	105089
58	102680
59	101497
60	99045
61	100731
62	103156
63	102256
64	101142
65	96297
66	94902
67	93046
68	93119
69	90268
70	87988
71	85442
72	85476
73	86074
74	86281
75	84370
76	83562
77	80202
78	78508
79	77644
80	76651
81	74289
82	73491
83	72505
84	71252
85	72064
86	70993
87	69228
88	68429
89	67320
90	65876
91	65336
92	63929
93	63900
94	63113
95	63676
96	63963
97	61043
98	60867
99	61851
100	60180
101	58771
102	56231
103	56483
104	56805
105	56952
106	56191
107	55804
108	55858
109	55376
110	55302
111	55447
112	52324
113	53653
114	53679
115	53694
116	53443
117	50963
118	50353
119	51184
120	50291
121	49285
122	49216
123	49183
124	49607
125	49945
126	50141
127	50255
128	49204
129	48197
130	48086
131	48328
132	49071
133	49373
134	49804
135	49002
136	47860
137	47919
138	47930
139	49047
140	48885
141	48117
142	48165
143	47346
144	49144
145	48422
146	48380
147	47983
148	47734
149	47838
150	48601
151	49332
152	49627
153	48335
154	50286
155	49306
156	50003
157	49433
158	49758
159	50924
160	51573
161	51810
162	52951
163	52793
164	52800
165	52785
166	53632
167	53165
168	55061
169	55841
170	56907
171	57021
172	55795
173	56578
174	57143
175	57625
176	58236
177	58391
178	59579
179	61133
180	63657
181	63644
182	63135
183	62420
184	62239
185	62894
186	62275
187	63132
188	64728
189	66682
190	67834
191	68529
192	69998
193	70047
194	69574
195	69252
196	68014
